,y,x1,x2,x3
LABEL,y (-),x1 (-),x2 (-),x3 (-)
RCPTRAINLORENZ_0,9.489994581997557,4.376444717955444,9.592636847790061,33.185181463129176
RCPTRAINLORENZ_1,9.042501968342949,4.871496596540432,9.489994581997557,32.794922083726156
RCPTRAINLORENZ_2,8.435167672019741,5.553421219842011,9.042501968342949,32.15782472024212
RCPTRAINLORENZ_3,7.778460786746624,5.9151426725683205,8.435167672019741,31.91181214413037
RCPTRAINLORENZ_4,7.221979705507507,5.868118754137111,7.778460786746624,31.50277119952669
RCPTRAINLORENZ_5,7.076554497267837,5.995938155426591,7.221979705507507,30.88114412034181
RCPTRAINLORENZ_6,6.913714516696166,5.831927423002349,7.076554497267837,30.63569803269014
RCPTRAINLORENZ_7,6.486467526383283,6.013222984557864,6.913714516696166,30.476659471237895
RCPTRAINLORENZ_8,6.113797669497604,6.130076962080111,6.486467526383283,30.16658651668855
RCPTRAINLORENZ_9,5.503136395637605,5.798314631542117,6.113797669497604,29.92490772335673
RCPTRAINLORENZ_10,5.334727902978132,5.818051670583586,5.503136395637605,29.072272987906505
RCPTRAINLORENZ_11,5.515717430947184,5.7712437024559495,5.334727902978132,28.515818975729704
RCPTRAINLORENZ_12,5.548668550055755,5.797526681339521,5.515717430947184,27.938689965768397
RCPTRAINLORENZ_13,5.433602752236143,5.3053060861156744,5.548668550055755,27.395926620969313
RCPTRAINLORENZ_14,6.011889668894521,5.150285355411927,5.433602752236143,26.570376365276925
RCPTRAINLORENZ_15,5.777484561892163,5.028051289366579,6.011889668894521,25.841076351581588
RCPTRAINLORENZ_16,5.9190921730148975,5.208318232149832,5.777484561892163,25.164680988984756
RCPTRAINLORENZ_17,6.061185485362677,5.283145603784025,5.9190921730148975,24.61078771513575
RCPTRAINLORENZ_18,6.147570854068767,5.0471232456278745,6.061185485362677,24.414231539341518
RCPTRAINLORENZ_19,6.37456537145102,5.138855489786705,6.147570854068767,24.043964529693408
RCPTRAINLORENZ_20,6.369305784878653,5.207548615309231,6.37456537145102,23.731858831973046
RCPTRAINLORENZ_21,6.481036077213868,5.435126144137,6.369305784878653,23.992290943958007
RCPTRAINLORENZ_22,6.943447420111543,5.527646619383443,6.481036077213868,23.76062312607088
RCPTRAINLORENZ_23,7.069430343996208,6.004890568793359,6.943447420111543,23.796644166905992
RCPTRAINLORENZ_24,7.508618492176256,6.131639776105865,7.069430343996208,23.58191581719617
RCPTRAINLORENZ_25,7.132543517047081,6.073943203294764,7.508618492176256,23.896902873116748
RCPTRAINLORENZ_26,6.8073271830943645,6.1762959986905495,7.132543517047081,23.602364632893718
RCPTRAINLORENZ_27,6.993948924189145,5.809443090879942,6.8073271830943645,23.44889930951378
RCPTRAINLORENZ_28,7.213747802047254,5.917652032376155,6.993948924189145,23.174316770896144
RCPTRAINLORENZ_29,7.488802985965759,6.008557963303076,7.213747802047254,22.871008251661085
RCPTRAINLORENZ_30,7.998254861480474,5.888142836064995,7.488802985965759,22.065951167842048
RCPTRAINLORENZ_31,8.146397775612822,5.981779323181578,7.998254861480474,21.68159702994221
RCPTRAINLORENZ_32,8.220721133651562,6.032536530529743,8.146397775612822,22.0592272624892
RCPTRAINLORENZ_33,8.378112862589102,6.341127951847995,8.220721133651562,22.119755191404916
RCPTRAINLORENZ_34,8.78940570387106,6.49486277372389,8.378112862589102,22.10600376682196
RCPTRAINLORENZ_35,9.275970923021722,6.40146381947646,8.78940570387106,22.115981379355606
RCPTRAINLORENZ_36,9.361704734324238,6.607516681310374,9.275970923021722,22.237371911230206
RCPTRAINLORENZ_37,9.309143445803896,6.8165517296936935,9.361704734324238,22.359326260877534
RCPTRAINLORENZ_38,9.614439506055147,7.754895657349701,9.309143445803896,22.316466026628376
RCPTRAINLORENZ_39,9.636915872970047,8.022954407606502,9.614439506055147,22.520067135264604
RCPTRAINLORENZ_40,9.58864928421948,8.072672887482279,9.636915872970047,23.03668992646374
RCPTRAINLORENZ_41,9.959559124844414,8.020863369724134,9.58864928421948,23.308315857417128
RCPTRAINLORENZ_42,9.987030406308758,7.826948691383438,9.959559124844414,23.249303113532726
RCPTRAINLORENZ_43,10.174079712683485,7.878962634577422,9.987030406308758,23.32302047623104
RCPTRAINLORENZ_44,10.74707313933075,8.419402847036322,10.174079712683485,23.039854581082928
RCPTRAINLORENZ_45,11.39101782842587,8.359238505711831,10.74707313933075,22.766615208766687
RCPTRAINLORENZ_46,11.609510986515193,8.361016181935826,11.39101782842587,22.95293383364369
RCPTRAINLORENZ_47,11.744154753434584,8.763301561750287,11.609510986515193,23.330241117919872
RCPTRAINLORENZ_48,11.65239275862112,8.863019552760498,11.744154753434584,23.496861842503854
RCPTRAINLORENZ_49,11.782331868211722,9.305068936307029,11.65239275862112,23.805377655007405
